,Leverage,Profitability,Investment,Dividend Yield
1/1/2015,10.6,0.014415104,-0.085759826,3.20%
1/2/2015,10.6,0.014415104,-0.085759826,3.20%
1/3/2015,10.6,0.014415104,-0.085759826,3.20%
1/4/2015,10.6,0.014415104,-0.085759826,3.20%
1/5/2015,10.6,0.014415104,-0.085759826,3.20%
1/6/2015,10.6,0.014415104,-0.085759826,3.20%
1/7/2015,10.6,0.014415104,-0.085759826,3.20%
1/8/2015,10.6,0.014415104,-0.085759826,3.20%
1/9/2015,10.6,0.014415104,-0.085759826,3.20%
1/10/2015,10.6,0.014415104,-0.085759826,3.20%
1/11/2015,10.6,0.014415104,-0.085759826,3.20%
1/12/2015,10.6,0.014415104,-0.085759826,3.20%
1/13/2015,10.6,0.014415104,-0.085759826,3.20%
1/14/2015,10.6,0.014415104,-0.085759826,3.20%
1/15/2015,10.6,0.014415104,-0.085759826,3.20%
1/16/2015,10.6,0.014415104,-0.085759826,3.20%
1/17/2015,10.6,0.014415104,-0.085759826,3.20%
1/18/2015,10.6,0.014415104,-0.085759826,3.20%
1/19/2015,10.6,0.014415104,-0.085759826,3.20%
1/20/2015,10.6,0.014415104,-0.085759826,3.20%
1/21/2015,10.6,0.014415104,-0.085759826,3.20%
1/22/2015,10.6,0.014415104,-0.085759826,3.20%
1/23/2015,10.6,0.014415104,-0.085759826,3.20%
1/24/2015,10.6,0.014415104,-0.085759826,3.20%
1/25/2015,10.6,0.014415104,-0.085759826,3.20%
1/26/2015,10.6,0.014415104,-0.085759826,3.20%
1/27/2015,10.6,0.014415104,-0.085759826,3.20%
1/28/2015,10.6,0.014415104,-0.085759826,3.20%
1/29/2015,10.6,0.014415104,-0.085759826,3.20%
1/30/2015,10.6,0.014415104,-0.085759826,3.20%
1/31/2015,10.6,0.014415104,-0.085759826,3.20%
2/1/2015,10.6,0.014415104,-0.085759826,3.20%
2/2/2015,10.6,0.014415104,-0.085759826,3.20%
2/3/2015,10.6,0.014415104,-0.085759826,3.20%
2/4/2015,10.6,0.014415104,-0.085759826,3.20%
2/5/2015,10.6,0.014415104,-0.085759826,3.20%
2/6/2015,10.6,0.014415104,-0.085759826,3.20%
2/7/2015,10.6,0.014415104,-0.085759826,3.20%
2/8/2015,10.6,0.014415104,-0.085759826,3.20%
2/9/2015,10.6,0.014415104,-0.085759826,3.20%
2/10/2015,10.6,0.014415104,-0.085759826,3.20%
2/11/2015,10.6,0.014415104,-0.085759826,3.20%
2/12/2015,10.6,0.014415104,-0.085759826,3.20%
2/13/2015,10.6,0.014415104,-0.085759826,3.20%
2/14/2015,10.6,0.014415104,-0.085759826,3.20%
2/15/2015,10.6,0.014415104,-0.085759826,3.20%
2/16/2015,10.6,0.014415104,-0.085759826,3.20%
2/17/2015,10.6,0.014415104,-0.085759826,3.20%
